district,title,link,orientation,deal_date,total_price,position,unit_price,features,list_amount,transaction_day,agent_name,agent_link
Huangpu,丽丽小区 1室1厅 37.75平米,https://sh.lianjia.com/chengjiao/107105433194.html,南 | 简装,2022.07.25,427万,中楼层(共6层) 1986年板楼,113113元/平,近地铁,挂牌455万,成交周期18天,杨昭,https://dianpu.lianjia.com/1000000026660402/
Huangpu,蒙西小区 2室1厅 60.99平米,https://sh.lianjia.com/chengjiao/107105497967.html,南 | 精装,2022.07.24,718万,中楼层(共7层) 1993年板楼,117725元/平,近地铁,挂牌740万,成交周期4天,张文浩,https://dianpu.lianjia.com/1000000022085846/
Huangpu,蒙自路440弄 2室1厅 53.1平米,https://sh.lianjia.com/chengjiao/107105061954.html,南 北 | 精装,2022.07.24,550万,高楼层(共6层) 1986年板楼,103579元/平,近地铁,挂牌568万,成交周期134天,张清云,https://dianpu.lianjia.com/1000000026531465/
Huangpu,蒙自新村 2室1厅 59.01平米,https://sh.lianjia.com/chengjiao/107105362634.html,东 | 精装,2022.07.20,540万,高楼层(共7层) 1989年板楼,91510元/平,"房屋满五年, 近地铁",挂牌545万,成交周期26天,谢锋,https://dianpu.lianjia.com/1000000022266076/
Huangpu,白云公寓 2室1厅 109.81平米,https://sh.lianjia.com/chengjiao/107105400150.html,南 | 精装,2022.07.17,1080万,低楼层(共21层) 1998年塔楼,98352元/平,"房屋满五年, 近地铁",挂牌1100万,成交周期17天,刘冬平,https://dianpu.lianjia.com/1000000022225810/
Huangpu,丽园新村 1室1厅 28.54平米,https://sh.lianjia.com/chengjiao/107104792239.html,北 | 简装,2022.07.17,342万,高楼层(共6层) 1986年板楼,119832元/平,"房屋满五年, 近地铁",挂牌350万,成交周期212天,张超,https://dianpu.lianjia.com/1000000022110206/
Huangpu,北蒙三小区 1室1厅 34.2平米,https://sh.lianjia.com/chengjiao/107105338178.html,西南 | 简装,2022.07.16,420万,低楼层(共7层) 1989年板楼,122808元/平,,挂牌430万,成交周期27天,张孟强,https://dianpu.lianjia.com/1000000022266872/
Huangpu,斜土路262弄 2室1厅 53.23平米,https://sh.lianjia.com/chengjiao/107103734786.html,南 | 简装,2022.07.10,556万,高楼层(共6层) 1985年板楼,104453元/平,"房屋满五年, 近地铁",挂牌570万,成交周期477天,张豆,https://dianpu.lianjia.com/1000000022232203/
Huangpu,桥一小区 1室1厅 44.7平米,https://sh.lianjia.com/chengjiao/107103837090.html,南 | 精装,2022.07.07,480万,高楼层(共7层) 1989年板楼,107383元/平,"房屋满五年, 近地铁",挂牌499万,成交周期452天,刘卫涛,https://dianpu.lianjia.com/1000000022274513/
Huangpu,蒙西小区 1室1厅 37.47平米,https://sh.lianjia.com/chengjiao/107105360214.html,南 | 精装,2022.07.05,405万,高楼层(共6层) 1980年板楼,108087元/平,房屋满五年,挂牌415万,成交周期12天,尼贺鹏,https://dianpu.lianjia.com/1000000026669647/
Huangpu,正达公寓 2室1厅 65.65平米,https://sh.lianjia.com/chengjiao/107104479583.html,南 | 精装,2022.07.04,719万,低楼层(共7层) 1995年板楼,109521元/平,"房屋满五年, 近地铁",挂牌730万,成交周期285天,李三奇,https://dianpu.lianjia.com/1000000026696930/
Huangpu,蒙西小区 1室1厅 38.81平米,https://sh.lianjia.com/chengjiao/107105035515.html,南 | 简装,2022.07.04,428万,中楼层(共7层) 1990年板楼,110281元/平,"房屋满五年, 近地铁",挂牌438万,成交周期120天,丁小芳,https://dianpu.lianjia.com/1000000022098250/
Huangpu,江南新苑 2室2厅 92.72平米,https://sh.lianjia.com/chengjiao/107105023154.html,南 | 精装,2022.06.30,980万,中楼层(共24层) 1996年塔楼,105695元/平,近地铁,挂牌1099万,成交周期118天,易茂虎,https://dianpu.lianjia.com/1000000022120299/
Huangpu,局后小区 1室1厅 36.3平米,https://sh.lianjia.com/chengjiao/107104960768.html,南 | 精装,2022.06.27,385万,中楼层(共6层) 1985年板楼,106061元/平,"房屋满五年, 近地铁",挂牌400万,成交周期129天,张胜胜,https://dianpu.lianjia.com/1000000022102154/
