district,title,link,orientation,deal_date,total_price,position,unit_price,features,list_amount,transaction_day,agent_name,agent_link
Hongkou,曲阳林云小区 2室1厅 61.77平米,https://sh.lianjia.com/chengjiao/107108216952.html,南 北 | 简装,2024.04.26,325万,高楼层(共6层) 1988年板楼,52615元/平,房屋满五年,挂牌355万,成交周期200天,王必春,https://dianpu.lianjia.com/1000000030321458/
Hongkou,赤峰小区 1室1厅 39.68平米,https://sh.lianjia.com/chengjiao/107109112881.html,南 | 简装,2024.04.26,172万,高楼层(共6层) 1984年板楼,43347元/平,近地铁,挂牌190万,成交周期59天,颛孙亚飞,https://dianpu.lianjia.com/1000000022153093/
Hongkou,大西小区 2室1厅 61.34平米,https://sh.lianjia.com/chengjiao/107108284027.html,南 | 简装,2024.04.26,385万,高楼层(共6层) 1975年板楼,62765元/平,"房屋满五年, 近地铁",挂牌418万,成交周期191天,施莹莹,https://dianpu.lianjia.com/1000000026068777/
Hongkou,大二小区 2室1厅 47.06平米,https://sh.lianjia.com/chengjiao/107108540080.html,南 | 精装,2024.04.25,257万,低楼层(共6层) 1973年板楼,54612元/平,近地铁,挂牌278万,成交周期156天,何意,https://dianpu.lianjia.com/1000000030053114/
Hongkou,东五小区(虹口) 2室1厅 70.59平米,https://sh.lianjia.com/chengjiao/107108214575.html,南 | 简装,2024.04.25,400万,低楼层(共24层) 1989年塔楼,56666元/平,近地铁,挂牌455万,成交周期200天,吴永强,https://dianpu.lianjia.com/1000000030151197/
Hongkou,北宸佳苑 3室2厅 131.22平米,https://sh.lianjia.com/chengjiao/107108430171.html,南 北 | 精装,2024.04.25,870万,低楼层(共18层) 2008年板楼,66301元/平,"房屋满五年, 近地铁",挂牌920万,成交周期171天,刘俊,https://dianpu.lianjia.com/1000000022131105/
Hongkou,赤峰小区 2室1厅 80.2平米,https://sh.lianjia.com/chengjiao/107109481831.html,南 北 | 简装,2024.04.24,390万,中楼层(共19层) 1989年板楼,48629元/平,"房屋满五年, 近地铁",挂牌428万,成交周期13天,王贵飞,https://dianpu.lianjia.com/1000000022191573/
Hongkou,四平路幸福村 1室0厅 32.54平米,https://sh.lianjia.com/chengjiao/107108927170.html,南 | 简装,2024.04.23,188万,低楼层(共6层) 1989年板楼,57776元/平,"房屋满五年, 近地铁",挂牌215万,成交周期98天,杨雪,https://dianpu.lianjia.com/1000000029146495/
Hongkou,大西小区 1室1厅 35.26平米,https://sh.lianjia.com/chengjiao/107109027014.html,南 | 精装,2024.04.20,225万,中楼层(共6层) 1986年板楼,63812元/平,"房屋满五年, 近地铁",挂牌239万,成交周期63天,牛文龙,https://dianpu.lianjia.com/1000000030375647/
Hongkou,赤峰小区 1室1厅 39.68平米,https://sh.lianjia.com/chengjiao/107107108023.html,南 | 精装,2024.04.19,215万,中楼层(共6层) 1984年板楼,54184元/平,近地铁,挂牌238万,成交周期344天,田文珍,https://dianpu.lianjia.com/1000000022247681/
Hongkou,祥东小区(虹口) 1室1厅 39.27平米,https://sh.lianjia.com/chengjiao/107108935373.html,南 | 精装,2024.04.18,241万,中楼层(共6层) 1980年板楼,61371元/平,"房屋满五年, 近地铁",挂牌252万,成交周期91天,武佩琦,https://dianpu.lianjia.com/1000000028939302/
Hongkou,东四小区 1室1厅 50.68平米,https://sh.lianjia.com/chengjiao/107108478784.html,南 | 精装,2024.04.17,265万,中楼层(共13层) 1986年塔楼,52289元/平,"房屋满五年, 近地铁",挂牌330万,成交周期156天,陆龙炎,https://dianpu.lianjia.com/1000002100823796/
Hongkou,祥东小区(虹口) 1室1厅 36.4平米,https://sh.lianjia.com/chengjiao/107109479237.html,南 | 精装,2024.04.17,238万,低楼层(共6层) 1982年板楼,65385元/平,"房屋满五年, 近地铁",挂牌252万,成交周期5天,张新,https://dianpu.lianjia.com/1000000022263514/
